game_id,week,season_type,neutral_site,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points,Date,Attendance
401640980,3,regular,FALSE,FALSE,FAU Stadium,Florida Atlantic,American Athletic,38,Florida International,Conference USA,20,09/14/2024,24283
401628625,4,regular,TRUE,FALSE,Pitbull Stadium,Florida International,Conference USA,42,Monmouth,CAA,45,09/21/2024,17922
401640981,5,regular,TRUE,TRUE,Pitbull Stadium,Florida International,Conference USA,17,Louisiana Tech,Conference USA,10,09/28/2024,12425
401640982,7,regular,FALSE,TRUE,Williams Stadium (VA),Liberty,Conference USA,31,Florida International,Conference USA,24,10/08/2024,16343
401640983,8,regular,FALSE,TRUE,Sun Bowl,UTEP,Conference USA,30,Florida International,Conference USA,21,10/16/2024,11373
401640984,9,regular,TRUE,TRUE,Pitbull Stadium,Florida International,Conference USA,7,Sam Houston,Conference USA,10,10/22/2024,10625
401640985,10,regular,TRUE,TRUE,Pitbull Stadium,Florida International,Conference USA,34,New Mexico State,Conference USA,13,10/29/2024,9103
401640986,12,regular,FALSE,TRUE,AmFirst Stadium,Jacksonville State,Conference USA,34,Florida International,Conference USA,31,11/16/2024,17688
401640987,13,regular,FALSE,TRUE,Fifth Third Stadium,Kennesaw State,Conference USA,27,Florida International,Conference USA,26,11/23/2024,6210
401640988,14,regular,TRUE,TRUE,Pitbull Stadium,Florida International,Conference USA,35,Middle Tennessee,Conference USA,24,11/30/2024,8962
401628453,1,regular,FALSE,FALSE,Spartan Stadium,Michigan State,Big Ten,16,Florida Atlantic,American Athletic,10,08/30/2024,70271
401629031,4,regular,FALSE,FALSE,Pratt & Whitney Stadium,UConn,FBS Independents,48,Florida Atlantic,American Athletic,14,09/21/2024,20144
401645335,5,regular,FALSE,FALSE,FAU Stadium,Florida Atlantic,American Athletic,41,Wagner,NEC,10,09/28/2024,21151
401645343,7,regular,FALSE,TRUE,FAU Stadium,Florida Atlantic,American Athletic,37,North Texas,American Athletic,41,10/12/2024,14576
401645348,8,regular,FALSE,TRUE,Alamodome,UTSA,American Athletic,38,Florida Atlantic,American Athletic,24,10/19/2024,20802
401645357,10,regular,FALSE,TRUE,FAU Stadium,Florida Atlantic,American Athletic,21,South Florida,American Athletic,44,11/01/2024,20111
401645369,12,regular,FALSE,TRUE,Lincoln Financial Field,Temple,American Athletic,18,Florida Atlantic,American Athletic,15,11/16/2024,12291
401645380,14,regular,FALSE,TRUE,Chapman Stadium,Tulsa,American Athletic,16,Florida Atlantic,American Athletic,63,11/30/2024,15243
401628452,1,regular,FALSE,FALSE,Michigan Stadium,Michigan,Big Ten,30,Fresno State,Mountain West,10,08/31/2024,110665
401643707,2,regular,FALSE,FALSE,Valley Children's Stadium,Fresno State,Mountain West,46,Sacramento State,Big Sky,30,09/07/2024,41031
401641033,3,regular,FALSE,FALSE,Valley Children's Stadium,Fresno State,Mountain West,48,New Mexico State,Conference USA,0,09/14/2024,39079
401643711,4,regular,FALSE,TRUE,University Stadium (NM),New Mexico,Mountain West,21,Fresno State,Mountain West,38,09/21/2024,18019
401643720,5,regular,FALSE,TRUE,Allegiant Stadium,UNLV,Mountain West,59,Fresno State,Mountain West,14,09/28/2024,24638
401643730,7,regular,FALSE,FALSE,Valley Children's Stadium,Fresno State,Mountain West,17,Washington State,Pac-12,25,10/12/2024,41031
401643735,8,regular,FALSE,TRUE,Mackay Stadium,Nevada,Mountain West,21,Fresno State,Mountain West,24,10/18/2024,18319
401643742,9,regular,FALSE,TRUE,Valley Children's Stadium,Fresno State,Mountain West,33,San José State,Mountain West,10,10/26/2024,41343
401643749,10,regular,FALSE,TRUE,Valley Children's Stadium,Fresno State,Mountain West,20,Hawai'i,Mountain West,21,11/02/2024,41575
401628570,14,regular,FALSE,FALSE,Rose Bowl,UCLA,Big Ten,20,Fresno State,Mountain West,13,11/30/2024,35018
401677086,1,postseason,TRUE,FALSE,Albertsons Stadium,Fresno State,Mountain West,20,Northern Illinois,Mid-American,28,12/23/2024,10359
401643708,2,regular,FALSE,FALSE,Mackay Stadium,Nevada,Mountain West,17,Georgia Southern,Sun Belt,20,09/07/2024,16245
401643787,3,regular,FALSE,FALSE,Allen E. Paulson Stadium,Georgia Southern,Sun Belt,42,South Carolina State,MEAC,14,09/14/2024,21617
401628366,4,regular,FALSE,FALSE,Vaught-Hemingway Stadium,Ole Miss,SEC,52,Georgia Southern,Sun Belt,13,09/21/2024,67505
401643792,5,regular,FALSE,TRUE,Center Parc Stadium,Georgia State,Sun Belt,21,Georgia Southern,Sun Belt,38,09/28/2024,18808
401643804,7,regular,FALSE,TRUE,Allen E. Paulson Stadium,Georgia Southern,Sun Belt,24,Marshall,Sun Belt,23,10/12/2024,24048
401643812,8,regular,FALSE,TRUE,Allen E. Paulson Stadium,Georgia Southern,Sun Belt,28,James Madison,Sun Belt,14,10/19/2024,20153
401643815,9,regular,FALSE,TRUE,S.B. Ballard Stadium,Old Dominion,Sun Belt,47,Georgia Southern,Sun Belt,19,10/24/2024,18281
401643823,10,regular,FALSE,TRUE,Hancock Whitney Stadium,South Alabama,Sun Belt,30,Georgia Southern,Sun Belt,34,11/02/2024,19667
401643830,12,regular,FALSE,TRUE,Allen E. Paulson Stadium,Georgia Southern,Sun Belt,20,Troy,Sun Belt,28,11/16/2024,21762
